Referencia,Componente,Valor,Tipo,Quantidade,Fornecedor,Custo_Unitario_USD,Subtotal_USD,Notas,
D_tvs_2,TVS Protection Diode,50V 10A Bidirectional,TVS Diode,1,LCSC,0.3,0.3,Over-voltage clamp input (48V link),
Hall_A,Hall Effect Sensor,A3144,IC Sensor,1,AliExpress,0.1,0.1,Rotor position feedback (lote 10pcs ~$1),
Hall_B,Hall Effect Sensor,A3144,IC Sensor,1,AliExpress,0.1,0.1,Rotor position feedback,
Hall_C,Hall Effect Sensor,A3144,IC Sensor,1,AliExpress,0.1,0.1,Rotor position feedback,
C_debounce_hall,Hall Debounce Cap,10nF 16V,Capacitor,3,LCSC,0.01,0.03,Suppress Hall jitter,
Fuse1,Main Fuse,50A Automotive,Fuse,1,AliExpress,1.5,1.5,DC input protection,
Connector_XT60,Power Input Connector,XT60 (par),Connector,1,AliExpress,0.4,0.4,65A - ok p/ prototipo 30A (p/ 100A usar XT90),
Connector_motor_u,Motor Phase U Stud,M4 Brass,Hardware,1,AliExpress,0.2,0.2,Motor phase connection,
Connector_motor_v,Motor Phase V Stud,M4 Brass,Hardware,1,AliExpress,0.2,0.2,Motor phase connection,
Connector_motor_w,Motor Phase W Stud,M4 Brass,Hardware,1,AliExpress,0.2,0.2,Motor phase connection,
Connector_aux,Auxiliary Header,JST PH 2.0 4-pin,Connector,1,LCSC,0.2,0.2,12V aux + CAN bus future,
Connector_debug,Debug UART,Micro-USB or JST SH,Connector,1,AliExpress,0.5,0.5,Serial programming access,
PCB_Prototype,4-layer PCB,FR-4 2oz Copper,PCB,1,JLCPCB,30,30,JLCPCB ~$7 p/100x100mm (PCBWay era $100),
Heatsink_main,Aluminum Backplate,300x200x10mm,Heatsink,1,AliExpress,8,8,Passive cooling (25W @ bancada 30A),
Thermal_paste,Thermal Compound,3W/mK,Thermal Interface,1,AliExpress,1.5,1.5,MOSFET to heatsink interface,
Cable_power,Main Power Cable,6mm2 silicone 400V rated,Wire,1,AliExpress,0.6,0.6,DC+ and DC-,
Cable_motor,Motor Phase Cables,6mm2 shielded,Wire,1,AliExpress,1.2,1.2,Shielded UVW phase cables,
Shrink_tube,Heat Shrink Tubing,Assorted 1mm-5mm,Hardware,1,AliExpress,0.5,0.5,Connector insulation,
Fasteners,M4 Bolts + Washers + Nuts,Stainless,Hardware,20,AliExpress,0.05,1,Heatsink mounting,
Silicone_sealant,Potting/Sealant,Silicone,Adhesive,1,AliExpress,4,4,Potting for moisture protection,
Buck_in,Buck Regulator 12V (opcional),LM2596HV 60V,IC Power Mgmt,1,AliExpress,1.5,1.5,OPCIONAL - DRV8302 buck integrado ja supre 5V/3.3V. LM7805 REMOVIDO (max 35V),
Capacitor_5V,Bulk Cap 5V,100uF 16V,Capacitor,1,LCSC,0.1,0.1,5V supply decoupling,
Resistor_divider_vdc,Voltage Divider Resistors,100k 1% 1/4W pair,Resistor,1,LCSC,0.02,0.02,DC link voltage sense (48V to 3.3V),
,,,,TOTAL BOM COST:,,,84.78,,
,,,,Estimated Assembly Labor:,,,0,DIY solda (PCBA LCSC opcional),
,,,,Estimated Housing/Mechanical:,,,15,Caixa aluminio AliExpress,
,,,,Frete (LCSC + AliExpress):,,,20,2-3 pedidos,
,,,,TOTAL UNIT COST (Prototipagem):,,,120,Per unit for 1-5 pieces,
,,,,ESTIMATED UNIT COST (10-50 qty):,,,102,With volume discount,
,,,,ESTIMATED UNIT COST (100+ qty):,,,90,Mass production economy,
,,,,,,,,,
NOTAS_IMPORTANTES (CORRIGIDAS),,,,,,,,,
CORRECAO 1: Fase 1 (prototipo) opera em bancada 12-48V. DRV8302 e 8-60V PVDD - nao suporta link de 400V. Para 400V (Fase 2) usar drivers HV (UCC21520/IR2184 x3) + MOSFETs 600V alta corrente (IXFN100N60P/SiC) + cooling ativo.,,,,,,,,,
CORRECAO 2: IPP65R600P7 e 600V/~6A/0.6Ohm - NAO e 100A/0.01Ohm como a BOM antiga afirmava. Para bancada 48V/30A usar IRFB4110 (100V/180A/4.5mOhm).,,,,,,,,,
"CORRECAO 3: LM7805 removido (max 35V input). O buck integrado do DRV8302 (TPS54160, 60V/1.5A) supre 5V/3.3V do MCU. LM2596HV listado como opcional.",,,,,,,,,
Shunt 1mOhm 2% mantido - amplificador de shunt integrado no DRV8302. A 30A dissipa <1W; a 100A dissiparia 10W.,,,,,,,,,
Heatsink recalculado para bancada 30A: ~25W total (conducao 3.2W + comutacao ~1W por MOSFET) - passivo ok.,,,,,,,,,
PCB: JLCPCB (4 camadas ~$7 p/ 100x100mm) - muito mais barato que PCBWay ($48-116).,,,,,,,,,
Precos 2026-08-15 (LCSC + AliExpress). Planilha detalhada em COTACAO_CHEAPEST.md.,,,,,,,,,
Fase 2 (400V/50kW+): drivers HV + SiC + liquid cooling + EMC - fora desta BOM.,,,,,,,,,
